run,step,num_windows,num_episodes,mae,mse,improvement_vs_zero,improvement_vs_persist,improvement_vs_hold,hold_mae,r2_min,r2_mean,gripper_acc,mae_gripper,mae_xyz,horizon_growth,episode_mae_std,train_mae_at_step,train_mae_gap,pred_vs_persist_corr
iclr_adjust_cup,5000,400,50,0.04411,0.00508,0.9251,0.4997,0.6012,0.11062,0.9466,0.98,0.9839,0.07222,0.03718,1.256,0.0049,0.04206,0.00206,0.9362
iclr_adjust_cup,10000,400,50,0.02139,0.00126,0.9637,0.7574,0.8066,0.11062,0.9895,0.9948,0.9954,0.02631,0.02008,1.053,0.00204,0.02319,-0.0018,0.9347
iclr_open_cabinet,5000,400,50,0.05328,0.00564,0.9121,0.2646,0.429,0.09332,0.9367,0.9708,0.9793,0.04877,0.06349,1.214,0.00667,0.05314,0.00014,0.9738
iclr_open_cabinet,10000,400,50,0.0264,0.00137,0.9565,0.6356,0.7171,0.09332,0.9839,0.9923,0.9929,0.02687,0.02807,1.217,0.00306,0.02161,0.00479,0.9734
iclr_open_cabinet,15000,400,50,0.02379,0.00103,0.9608,0.6716,0.7451,0.09332,0.9826,0.9931,0.9943,0.02911,0.02138,1.117,0.00205,0.01888,0.00491,0.9723
iclr_open_cabinet,20000,400,50,0.02654,0.00119,0.9562,0.6337,0.7156,0.09332,0.9817,0.9924,0.9964,0.02946,0.0253,0.999,0.0016,0.0157,0.01084,0.9724
iclr_pick_banana_newtable,5000,800,100,0.0558,0.00604,0.8693,0.2648,0.4264,0.09728,0.8962,0.9587,0.9646,0.06912,0.04578,1.85,0.00564,0.06358,-0.00779,0.9402
iclr_pick_banana_newtable,10000,800,100,0.04036,0.00322,0.9055,0.4682,0.5851,0.09728,0.9567,0.9798,0.9666,0.05858,0.03495,1.309,0.00387,0.04122,-0.00086,0.9393
iclr_pick_banana_newtable,15000,800,100,0.0274,0.00146,0.9358,0.639,0.7184,0.09728,0.9781,0.9902,0.9873,0.02895,0.02402,0.978,0.00215,0.02268,0.00472,0.9362
iclr_pick_banana_newtable,20000,800,100,0.02714,0.00137,0.9364,0.6424,0.721,0.09728,0.9803,0.9911,0.9857,0.02762,0.02563,0.899,0.00184,0.01877,0.00837,0.9381
